date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:54:05	3878/3878	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Feb%202018%2002:54:04%20GMT	http://clubs.marist.edu/anime/	C:/My%20Web%20Sites/Anime20172018/clubs.marist.edu/anime/index.html	(from )
21:54:06	988/988	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Feb%202018%2002:54:04%20GMT	http://clubs.marist.edu/robots.txt		(from )
21:54:06	9340/9340	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Feb%202018%2002:54:06%20GMT	https://bootswatch.com/sandstone/bootstrap.min.css	C:/My%20Web%20Sites/Anime20172018/bootswatch.com/sandstone/bootstrap.min.0.delayed	(from http://clubs.marist.edu/anime/)
21:54:06	1655/1655	---M--	200	added ('OK')	text/css	etag:%22677-54e3f125a5370%22	http://clubs.marist.edu/anime/styles.css	C:/My%20Web%20Sites/Anime20172018/clubs.marist.edu/anime/styles.css	(from http://clubs.marist.edu/anime/)
21:54:07	97163/97163	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	C:/My%20Web%20Sites/Anime20172018/ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	(from http://clubs.marist.edu/anime/)
21:54:07	36868/36868	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c5b5b2fa19bd66ff23211d9f844e0131%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.6/js/bootstrap.min.js	C:/My%20Web%20Sites/Anime20172018/maxcdn.bootstrapcdn.com/bootstrap/3.3.6/js/bootstrap.min.js	(from http://clubs.marist.edu/anime/)
21:54:08	3878/3878	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Feb%202018%2002:54:07%20GMT	http://clubs.marist.edu/anime/index.html	C:/My%20Web%20Sites/Anime20172018/clubs.marist.edu/anime/index-2.html	(from http://clubs.marist.edu/anime/)
21:54:09	17508/17508	---MC-	200	added ('OK')	text/html	date:Mon,%2012%20Feb%202018%2002:54:08%20GMT	http://clubs.marist.edu/anime/current_listings.html	C:/My%20Web%20Sites/Anime20172018/clubs.marist.edu/anime/current_listings.html	(from http://clubs.marist.edu/anime/)
21:54:09	3945/3945	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Feb%202018%2002:54:08%20GMT	http://clubs.marist.edu/anime/calendar.html	C:/My%20Web%20Sites/Anime20172018/clubs.marist.edu/anime/calendar.html	(from http://clubs.marist.edu/anime/)
21:54:09	10814/10814	---MC-	200	added ('OK')	text/html	date:Mon,%2012%20Feb%202018%2002:54:09%20GMT	http://clubs.marist.edu/anime/meet_board.html	C:/My%20Web%20Sites/Anime20172018/clubs.marist.edu/anime/meet_board.html	(from http://clubs.marist.edu/anime/)
21:54:09	3926/3926	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Feb%202018%2002:54:09%20GMT	http://clubs.marist.edu/anime/showhistory.html	C:/My%20Web%20Sites/Anime20172018/clubs.marist.edu/anime/showhistory.html	(from http://clubs.marist.edu/anime/)
21:54:09	2647/2647	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Feb%202018%2002:54:09%20GMT	http://clubs.marist.edu/anime/about-us.html	C:/My%20Web%20Sites/Anime20172018/clubs.marist.edu/anime/about-us.html	(from http://clubs.marist.edu/anime/)
21:54:10	685/685	---M--	200	added ('OK')	image/png	etag:%222ad-54e3f1265c520%22	http://clubs.marist.edu/anime/images/facebook-square-social-logo-white.png	C:/My%20Web%20Sites/Anime20172018/clubs.marist.edu/anime/images/facebook-square-social-logo-white.png	(from http://clubs.marist.edu/anime/)
21:54:16	74366/74366	---M--	200	added ('OK')	image/png	etag:%221227e-54e3f12617f60%22	http://clubs.marist.edu/anime/images/maristclublogo2.png	C:/My%20Web%20Sites/Anime20172018/clubs.marist.edu/anime/images/maristclublogo2.png	(from http://clubs.marist.edu/anime/)
21:54:25	57648/57648	---M--	200	added ('OK')	image/jpeg	etag:%22e130-527f944b1ea60%22	https://myanimelist.cdn-dena.com/images/anime/8/77831.jpg	C:/My%20Web%20Sites/Anime20172018/myanimelist.cdn-dena.com/images/anime/8/77831.jpg	(from http://clubs.marist.edu/anime/current_listings.html)
21:54:32	41312/41312	---M--	200	added ('OK')	image/jpeg	etag:%22a160-4e8fddbcf2bc0%22	https://myanimelist.cdn-dena.com/images/anime/11/55267.jpg	C:/My%20Web%20Sites/Anime20172018/myanimelist.cdn-dena.com/images/anime/11/55267.jpg	(from http://clubs.marist.edu/anime/current_listings.html)
21:54:41	52356/52356	---M--	200	added ('OK')	image/jpeg	etag:%22cc84-538c2e64d6728%22	https://myanimelist.cdn-dena.com/images/anime/6/81149.jpg	C:/My%20Web%20Sites/Anime20172018/myanimelist.cdn-dena.com/images/anime/6/81149.jpg	(from http://clubs.marist.edu/anime/current_listings.html)
21:54:50	55796/55796	---M--	200	added ('OK')	image/jpeg	etag:%22d9f4-4a2515205b8c0%22	https://myanimelist.cdn-dena.com/images/anime/4/5123.jpg	C:/My%20Web%20Sites/Anime20172018/myanimelist.cdn-dena.com/images/anime/4/5123.jpg	(from http://clubs.marist.edu/anime/current_listings.html)
21:54:55	31751/31751	---M--	200	added ('OK')	image/jpeg	etag:%227c07-4f37296c29b00%22	https://myanimelist.cdn-dena.com/images/anime/6/59399.jpg	C:/My%20Web%20Sites/Anime20172018/myanimelist.cdn-dena.com/images/anime/6/59399.jpg	(from http://clubs.marist.edu/anime/current_listings.html)
21:54:55	74/74	---M--	200	added ('OK')	image/gif	etag:%224a-54e3f18c11ec4%22	http://clubs.marist.edu/_resources/ou/dired.gif	C:/My%20Web%20Sites/Anime20172018/clubs.marist.edu/_resources/ou/dired.gif	(from http://clubs.marist.edu/anime/current_listings.html)
21:55:37	586608/586608	---M--	200	added ('OK')	image/png	etag:%228f370-54e3f1266af80%22	http://clubs.marist.edu/anime/images/akane7-2.png	C:/My%20Web%20Sites/Anime20172018/clubs.marist.edu/anime/images/akane7-2.png	(from http://clubs.marist.edu/anime/)
21:56:47	383471/383471	---M--	200	added ('OK')	image/jpeg	etag:%225879e22f-5d9ef%22	https://wallpapers.wallhaven.cc/wallpapers/full/wallhaven-474326.jpg	C:/My%20Web%20Sites/Anime20172018/wallpapers.wallhaven.cc/wallpapers/full/wallhaven-474326.jpg	(from http://clubs.marist.edu/anime/current_listings.html)
21:57:36	342313/342313	---M--	200	added ('OK')	image/jpeg	etag:%2258b4f43d-53929%22	https://images4.alphacoders.com/678/thumb-1920-678763.jpg	C:/My%20Web%20Sites/Anime20172018/images4.alphacoders.com/678/thumb-1920-678763.jpg	(from http://clubs.marist.edu/anime/current_listings.html)
21:57:50	86662/86662	---M--	200	added ('OK')	image/jpeg	etag:%225898ca5c-15286%22	https://honeysanime.com/wp-content/uploads/2015/07/jojos-bizzare-adventure-starsdust-crusaders-wallpaper-700x393.jpg	C:/My%20Web%20Sites/Anime20172018/honeysanime.com/wp-content/uploads/2015/07/jojos-bizzare-adventure-starsdust-crusaders-wallpaper-700x393.jpg	(from http://clubs.marist.edu/anime/current_listings.html)
21:59:22	2226840/2226840	---M--	200	added ('OK')	image/png	etag:%2221fa98-54e3f125f0e60%22	http://clubs.marist.edu/anime/images/animeSociety20152016-2.png	C:/My%20Web%20Sites/Anime20172018/clubs.marist.edu/anime/images/animeSociety20152016-2.png	(from http://clubs.marist.edu/anime/styles.css)
21:59:27	2065831/2065831	---M--	200	added ('OK')	image/png	etag:%22546e7362-1f85a7%22	https://images.alphacoders.com/555/555557.png	C:/My%20Web%20Sites/Anime20172018/images.alphacoders.com/555/555557.png	(from http://clubs.marist.edu/anime/styles.css)
21:59:44	795083/795083	---M--	200	added ('OK')	image/jpeg	etag:%22d3368fc3b4eeec6d1999166a01d97020%22	http://i.imgur.com/Dvrimdg.jpg	C:/My%20Web%20Sites/Anime20172018/i.imgur.com/Dvrimdg.jpg	(from http://clubs.marist.edu/anime/current_listings.html)
21:59:45	291/291	---M--	302	error ('Found')	text/html	date:Mon,%2012%20Feb%202018%2002:59:46%20GMT	http://www.imgbase.info/images/safe-wallpapers/anime/yuri_on_ice/60203_yuri_on_ice.jpg	C:/My%20Web%20Sites/Anime20172018/www.imgbase.info/images/safe-wallpapers/anime/yuri_on_ice/60203_yuri_on_ice.1c.delayed	(from http://clubs.marist.edu/anime/current_listings.html)
